split,sample_id,trajectory_rmse
test,49,0.13642048835754395
test,50,0.08571317046880722
test,51,0.2943694591522217
test,52,0.03820197656750679
test,54,0.057562824338674545
test,55,0.05669691413640976
test,56,0.11706077307462692
test,57,0.07485802471637726
test,58,0.0540383905172348
test,59,0.1657567024230957
test,84,0.1084885373711586
test,85,0.12204203009605408
test,86,0.10561458766460419
test,87,0.10544735938310623
test,88,0.07144293934106827
test,89,0.048196978867053986
test,90,0.09111829102039337
test,91,0.48786818981170654
test,92,0.12315544486045837
test,93,0.0835019201040268
test,94,0.05741620436310768
test,300,0.042590588331222534
test,301,0.04397844895720482
test,302,0.05885402858257294
test,303,0.04099959507584572
test,304,0.09626779705286026
test,305,0.09248684346675873
test,306,0.016574177891016006
test,307,0.06771574169397354
test,308,0.07339168339967728
test,309,0.07134009897708893
test,310,0.03713808208703995
test,311,0.12699782848358154
test,360,0.14017139375209808
test,361,0.06184431165456772
test,362,0.15145136415958405
test,364,0.08355746418237686
test,365,0.096530482172966
test,366,0.05197512358427048
test,367,0.13913875818252563
test,368,0.13190187513828278
test,369,0.0650826171040535
test,370,0.15498027205467224
test,371,0.15694226324558258
test,372,0.06684878468513489
test,374,0.08541975170373917
test,375,0.09387768805027008
test,376,0.1168011799454689
test,377,0.0405709482729435
test,378,0.16316388547420502
test,379,0.0830545723438263
test,381,0.08998682349920273
test,382,0.06424511969089508
test,505,0.12565098702907562
test,506,0.3447572588920593
test,510,0.15595053136348724
test,511,0.07200788706541061
test,512,0.1653454303741455
test,514,0.134331613779068
test,638,0.0936703011393547
test,639,0.07804422080516815
test,640,0.12224440276622772
test,641,0.15463297069072723
test,644,0.06045959144830704
test,645,0.4134046733379364
test,646,0.11869876086711884
test,660,0.07024592906236649
test,661,0.1174485981464386
test,662,0.0954974964261055
test,663,0.15115565061569214
test,664,0.08100417256355286
test,665,0.06450622528791428
test,666,0.09296553581953049
test,667,0.026241876184940338
test,668,0.03511372208595276
test,669,0.1575198471546173
test,670,0.1370445042848587
test,671,0.12722888588905334
test,672,0.1918986737728119
test,673,0.296473890542984
test,676,0.1942129284143448
test,678,0.09325485676527023
test,679,0.13675826787948608
test,680,0.14628592133522034
test,682,0.12226735800504684
test,816,0.07286207377910614
test,817,0.2573429048061371
test,818,0.11195220053195953
test,819,0.06553380191326141
test,820,0.05801625922322273
test,821,0.10852537304162979
test,822,0.07423701882362366
test,823,0.07698347419500351
test,824,0.08078713715076447
test,825,0.07367666810750961
test,826,0.04460986331105232
test,827,0.07577584683895111
test,864,0.06917595118284225
test,865,0.0705370306968689
test,866,0.03523746132850647
test,867,0.04472985491156578
test,868,0.03888435289263725
test,869,0.04262129217386246
test,870,0.07687035948038101
test,871,0.04854846000671387
test,872,0.06144868955016136
test,873,0.053260914981365204
test,874,0.08346247673034668
test,875,0.09526306390762329
test,924,0.08874747157096863
test,925,0.05037381127476692
test,926,0.08450151979923248
test,927,0.07115699350833893
test,928,0.048323482275009155
test,929,0.06647355854511261
test,930,0.03988456353545189
test,931,0.06965651363134384
test,932,0.09746431559324265
test,933,0.09810100495815277
test,934,0.0697910413146019
test,935,0.05246095731854439
test,936,0.03360757604241371
test,937,0.041389983147382736
test,938,0.036094024777412415
test,939,0.03298553451895714
test,940,0.1007152870297432
test,941,0.027841435745358467
test,942,0.05195726454257965
test,943,0.10717044025659561
test,944,0.15716779232025146
test,945,0.038501810282468796
test,946,0.07217974960803986
test,947,0.045211512595415115
test,972,0.039241526275873184
test,973,0.06191084161400795
test,974,0.04355303943157196
test,975,0.33513131737709045
test,976,0.11248934268951416
test,977,0.048112399876117706
test,978,0.16198591887950897
test,979,0.06011604145169258
test,980,0.07660470902919769
test,981,0.08519557863473892
test,982,0.07272510975599289
test,983,0.04192006215453148
test,1140,0.1586197167634964
test,1141,0.15259148180484772
test,1143,0.18686321377754211
test,1144,0.16080576181411743
test,1147,0.14662879705429077
test,1148,0.1986263394355774
test,1149,0.18828463554382324
test,1150,0.17482176423072815
test,1296,0.09758488088846207
test,1297,0.0695057287812233
test,1298,0.09620074182748795
test,1299,0.11025115102529526
test,1300,0.03791221231222153
test,1301,0.03790399432182312
test,1302,0.043184343725442886
test,1303,0.10984205454587936
test,1304,0.06580498069524765
test,1305,0.030467431992292404
test,1306,0.08602569997310638
test,1307,0.04034184291958809
test,1572,0.1288633942604065
test,1573,0.14035353064537048
test,1575,0.331796258687973
test,1576,0.15354566276073456
test,1577,0.11305532604455948
test,1578,0.2935378849506378
test,1579,0.07853955775499344
test,1580,0.21749411523342133
test,1581,0.1185402050614357
test,1583,0.4132707118988037
test,1740,0.06707164645195007
test,1741,0.1274845153093338
test,1742,0.07891371846199036
test,1743,0.04321208596229553
test,1744,0.05523397773504257
test,1745,0.07098998874425888
test,1746,0.0702066719532013
test,1747,0.07414977997541428
test,1748,0.07842107117176056
test,1749,0.04137413948774338
test,1750,0.04351907595992088
test,1751,0.07145357131958008
test,1932,0.14069712162017822
test,1933,0.10725238174200058
test,1934,0.06424897909164429
test,1935,0.18944092094898224
test,1936,0.03557690232992172
test,1937,0.022327996790409088
test,1938,0.03949974477291107
test,1939,0.12336566299200058
test,1940,0.021884530782699585
test,1941,0.08077578991651535
test,1942,0.08613894879817963
test,1943,0.167251318693161
test,2140,0.23447221517562866
test,2143,0.20652244985103607
test,2144,0.30591076612472534
test,2145,0.0696818083524704
ood_test,12,0.19751110672950745
ood_test,13,0.1875023990869522
ood_test,14,0.07204388827085495
ood_test,16,0.05661771818995476
ood_test,17,0.0763261616230011
ood_test,18,0.12130016088485718
ood_test,19,0.11897821724414825
ood_test,20,0.07320298999547958
ood_test,21,0.33897367119789124
ood_test,22,0.07322094589471817
ood_test,23,0.2767261564731598
ood_test,25,0.06334254890680313
ood_test,26,0.2623603940010071
ood_test,27,0.1615392118692398
ood_test,28,0.25499120354652405
ood_test,29,0.08598395437002182
ood_test,30,0.17440715432167053
ood_test,31,0.12149322032928467
ood_test,32,0.2435738444328308
ood_test,33,0.06943022459745407
ood_test,35,0.12545232474803925
ood_test,144,0.11972902715206146
ood_test,145,0.09815456718206406
ood_test,146,0.28413790464401245
ood_test,147,0.14521923661231995
ood_test,148,0.10863044112920761
ood_test,149,0.07950042188167572
ood_test,150,0.17093710601329803
ood_test,153,0.11986418068408966
ood_test,154,0.2418864667415619
ood_test,155,0.1138349249958992
ood_test,156,0.08230040967464447
ood_test,157,0.14930468797683716
ood_test,158,0.11120022088289261
ood_test,159,0.09515658020973206
ood_test,160,0.1791042983531952
ood_test,161,0.2489609718322754
ood_test,162,0.08779875934123993
ood_test,163,0.19951175153255463
ood_test,164,0.07891839742660522
ood_test,165,0.1639815717935562
ood_test,166,0.08993769437074661
ood_test,167,0.1797218769788742
ood_test,216,0.15595361590385437
ood_test,217,0.14385955035686493
ood_test,218,0.0683765858411789
ood_test,219,0.06643327325582504
ood_test,220,0.1391741931438446
ood_test,221,0.1087527945637703
ood_test,222,0.06063298135995865
ood_test,223,0.15626031160354614
ood_test,224,0.06817466765642166
ood_test,225,0.05764656141400337
ood_test,226,0.1957070678472519
ood_test,227,0.06961360573768616
ood_test,264,0.19107048213481903
ood_test,265,0.13673873245716095
ood_test,266,0.15718872845172882
ood_test,267,0.1150750070810318
ood_test,268,0.5762176513671875
ood_test,269,0.5327751040458679
ood_test,271,0.2958844304084778
ood_test,272,0.2290603518486023
ood_test,273,0.04962848126888275
ood_test,384,0.10287608951330185
ood_test,385,0.07815688848495483
ood_test,386,0.06129898503422737
ood_test,387,0.07787364721298218
ood_test,388,0.05245286971330643
ood_test,389,0.07631101459264755
ood_test,390,0.10171934217214584
ood_test,391,0.17026415467262268
ood_test,392,0.04842884838581085
ood_test,393,0.04562484472990036
ood_test,394,0.05337833613157272
ood_test,395,0.05921320244669914
ood_test,420,0.07060395181179047
ood_test,421,0.3329381048679352
ood_test,422,0.2664151191711426
ood_test,423,0.08530259132385254
ood_test,424,0.14126881957054138
ood_test,426,0.11863932013511658
