split,sample_id,trajectory_rmse
test,240,0.01587279513478279
test,241,0.11743548512458801
test,244,0.013011361472308636
test,246,0.01765083521604538
test,248,0.01871926337480545
test,249,0.020385337993502617
test,250,0.008268410339951515
test,251,0.016321316361427307
test,253,0.026317249983549118
test,254,0.06146605312824249
test,263,0.16937173902988434
test,384,0.07907316833734512
test,385,0.012125911191105843
test,386,0.019117232412099838
test,389,0.010351351462304592
test,390,0.06384899467229843
test,394,0.01168543566018343
test,396,0.014488034881651402
test,397,0.010091809555888176
test,399,0.01546828169375658
test,400,0.21743722259998322
test,401,0.029842715710401535
test,402,0.04270680248737335
test,403,0.01465284451842308
test,405,0.018374621868133545
test,406,0.03503431752324104
test,505,0.020520826801657677
test,506,0.09097070246934891
test,507,0.034396495670080185
test,508,0.0277686957269907
test,509,0.06399907171726227
test,510,0.016043659299612045
test,511,0.09565290063619614
test,512,0.023184804245829582
test,513,0.024959947913885117
test,514,0.008183115161955357
test,515,0.02533974125981331
test,516,0.022621333599090576
test,518,0.07431910187005997
test,519,0.026661358773708344
test,520,0.014153500087559223
test,521,0.016993070021271706
test,522,0.07376053929328918
test,523,0.014841020107269287
test,525,0.04265372455120087
test,526,0.026437554508447647
test,527,0.04401864483952522
test,816,0.01169071439653635
test,817,0.06993278115987778
test,819,0.12523005902767181
test,820,0.02662183903157711
test,821,0.1052098423242569
test,822,0.13687025010585785
test,823,0.01172663550823927
test,825,0.07039497792720795
test,826,0.17316211760044098
test,827,0.05027332156896591
test,832,0.01867055706679821
test,834,0.042134661227464676
test,835,0.02010943554341793
test,836,0.014272484928369522
test,838,0.024202758446335793
test,839,0.019790183752775192
test,960,0.02103445678949356
test,961,0.01492051500827074
test,962,0.014836350455880165
test,963,0.015139331109821796
test,964,0.04330817237496376
test,965,0.021608944982290268
test,966,0.015830717980861664
test,967,0.10462713986635208
test,968,0.041929975152015686
test,969,0.0374901257455349
test,970,0.016766704618930817
test,971,0.026211678981781006
test,972,0.015218925662338734
test,973,0.019784631207585335
test,974,0.058954156935214996
test,975,0.03872917592525482
test,976,0.06810862571001053
test,977,0.12649263441562653
test,978,0.03752545267343521
test,979,0.14138294756412506
test,980,0.02217196114361286
test,981,0.01592697761952877
test,982,0.04652018845081329
test,983,0.019119868054986
test,1104,0.09057488292455673
test,1105,0.009435523301362991
test,1107,0.01004594936966896
test,1108,0.022690266370773315
test,1110,0.016410179436206818
test,1112,0.019796496257185936
test,1114,0.026734380051493645
test,1116,0.010379880666732788
test,1117,0.013301086612045765
test,1118,0.08637700974941254
test,1119,0.1007336899638176
test,1120,0.09479417651891708
test,1121,0.029843492433428764
test,1122,0.019169321283698082
test,1123,0.055671900510787964
test,1124,0.07351807504892349
test,1125,0.2798607349395752
test,1126,0.08282896131277084
test,1296,0.005654308944940567
test,1297,0.020708801224827766
test,1298,0.022822309285402298
test,1299,0.01991106942296028
test,1300,0.015850471332669258
test,1301,0.006073880475014448
test,1302,0.03995731845498085
test,1303,0.02014225535094738
test,1304,0.019310155883431435
test,1305,0.005207515321671963
test,1306,0.009697835892438889
test,1307,0.023609260097146034
test,1308,0.03682565689086914
test,1309,0.021579880267381668
test,1310,0.04640902578830719
test,1311,0.07780242711305618
test,1312,0.028770940378308296
test,1313,0.02327866666018963
test,1314,0.00789561029523611
test,1315,0.011110187508165836
test,1316,0.005450388882309198
test,1317,0.021682756021618843
test,1318,0.0213825274258852
test,1319,0.010405161418020725
test,1416,0.04656890034675598
test,1417,0.030433353036642075
test,1418,0.03600598871707916
test,1419,0.022906487807631493
test,1420,0.04497610405087471
test,1421,0.05285373330116272
test,1422,0.06098266690969467
test,1423,0.07630126178264618
test,1424,0.37389665842056274
test,1425,0.046245310455560684
test,1426,0.08296924084424973
test,1427,0.07466953247785568
test,1428,0.04958894103765488
test,1429,0.09280391037464142
test,1430,0.05535716190934181
test,1431,0.06576267629861832
test,1432,0.04409077391028404
test,1435,0.04017125442624092
test,1436,0.1447441279888153
test,1437,0.2905837595462799
test,1438,0.09555299580097198
test,1439,0.03401947766542435
test,1872,0.004855605307966471
test,1873,0.007456756662577391
test,1874,0.008808188140392303
test,1875,0.005524254869669676
test,1876,0.012955923564732075
test,1877,0.0073056877590715885
test,1878,0.014807299710810184
test,1879,0.05976700410246849
test,1880,0.11368951946496964
test,1881,0.021001186221837997
test,1882,0.029446667060256004
test,1883,0.008377290330827236
test,1884,0.00808755587786436
test,1885,0.011319299228489399
test,1886,0.008369358256459236
test,1887,0.0509595163166523
test,1888,0.11138797551393509
test,1889,0.021998362615704536
test,1890,0.004844466224312782
test,1891,0.028568044304847717
test,1892,0.0049050915986299515
test,1893,0.02239672653377056
test,1894,0.005303504876792431
test,1895,0.005311885848641396
test,1992,0.009259653277695179
test,1993,0.006222249940037727
test,1994,0.006636503152549267
test,1995,0.0530969500541687
test,1996,0.0059140753000974655
test,1997,0.015996655449271202
test,1998,0.012605007737874985
test,1999,0.004033054690808058
test,2000,0.04575315862894058
test,2001,0.011954429559409618
test,2002,0.006568158511072397
test,2003,0.024872086942195892
test,2004,0.009003113023936749
test,2005,0.0061456188559532166
test,2006,0.04456202685832977
test,2007,0.007751206401735544
test,2008,0.009147614240646362
test,2009,0.014888541772961617
test,2010,0.1135341227054596
test,2011,0.05243108421564102
test,2012,0.006353757809847593
test,2013,0.012159881182014942
test,2014,0.007600695360451937
test,2015,0.008361060172319412
test,2520,0.025348570197820663
test,2521,0.05144109949469566
test,2522,0.010785876773297787
test,2523,0.04610705003142357
test,2524,0.0505848228931427
test,2525,0.05269520357251167
test,2526,0.04334444925189018
test,2527,0.042134840041399
test,2528,0.040661536157131195
test,2529,0.07150451838970184
test,2530,0.28491881489753723
test,2531,0.018053816631436348
test,2532,0.024955829605460167
