split,sample_id,plant_family,plant_order,plant_min_damping_ratio,closed_loop_oscillation_hz,trajectory_rmse
test,0,second_order,2,0.725551375900821,4.58687437351525,0.0727979764342308
test,1,second_order,2,0.725551375900821,0.4527890294945192,0.08261430263519287
test,2,second_order,2,0.725551375900821,3.870718737054242,0.0643523558974266
test,3,second_order,2,0.725551375900821,0.7341382814824355,0.06525886058807373
test,5,second_order,2,0.725551375900821,3.1089092902776154,0.0703037828207016
test,6,second_order,2,0.725551375900821,3.262655299821307,0.0787193700671196
test,7,second_order,2,0.725551375900821,0.844529270104699,0.43487536907196045
test,8,second_order,2,0.725551375900821,0.8238863384600685,0.30979710817337036
test,9,second_order,2,0.725551375900821,1.6875442958783688,0.3191187083721161
test,10,second_order,2,0.725551375900821,1.720826101837761,0.2595808207988739
test,14,second_order,2,0.725551375900821,1.6071952589445002,0.1731174886226654
test,15,second_order,2,0.725551375900821,0.8231485066781205,0.46961402893066406
test,17,second_order,2,0.725551375900821,0.8496773076941047,0.46104633808135986
test,36,slow_dynamics_family,3,1.0,0.0027175480907062305,0.06180977076292038
test,37,slow_dynamics_family,3,1.0,0.016654904052635477,0.3861484229564667
test,38,slow_dynamics_family,3,1.0,0.007633436330375713,0.06280756741762161
test,41,slow_dynamics_family,3,1.0,0.013453739917712282,0.17047786712646484
test,42,slow_dynamics_family,3,1.0,0.013335158579322473,0.13685695827007294
test,43,slow_dynamics_family,3,1.0,0.005975449843037395,0.06734998524188995
test,46,slow_dynamics_family,3,1.0,0.006089733881442152,0.07202310115098953
test,47,slow_dynamics_family,3,1.0,0.025583781262037617,0.48376262187957764
test,48,slow_dynamics_family,3,1.0,0.025091084003829166,0.4844200313091278
test,49,slow_dynamics_family,3,1.0,0.02552315866606682,0.48969271779060364
test,50,slow_dynamics_family,3,1.0,0.006136430240461412,0.07702149450778961
test,51,slow_dynamics_family,3,1.0,0.005968183821516486,0.05835097283124924
test,52,slow_dynamics_family,3,1.0,0.006736684152991974,0.06564685702323914
test,90,highly_resonant_second_order,2,0.05083594188978324,0.0,0.07787225395441055
test,91,highly_resonant_second_order,2,0.05083594188978324,0.0,0.03825552761554718
test,92,highly_resonant_second_order,2,0.05083594188978324,0.33675954212079007,0.13135957717895508
test,93,highly_resonant_second_order,2,0.05083594188978324,0.0,0.06865768879652023
test,94,highly_resonant_second_order,2,0.05083594188978324,0.0,0.05900123342871666
test,95,highly_resonant_second_order,2,0.05083594188978324,0.0,0.02366052009165287
test,96,highly_resonant_second_order,2,0.05083594188978324,0.0,0.03204035758972168
test,97,highly_resonant_second_order,2,0.05083594188978324,0.6025208627756793,0.05033174529671669
test,98,highly_resonant_second_order,2,0.05083594188978324,0.0,0.07659102976322174
test,99,highly_resonant_second_order,2,0.05083594188978324,4.186729141538549,0.0762222409248352
test,100,highly_resonant_second_order,2,0.05083594188978324,0.0,0.05504807457327843
test,101,highly_resonant_second_order,2,0.05083594188978324,0.0,0.0438971146941185
test,102,highly_resonant_second_order,2,0.05083594188978324,1.2782014573541296,0.07096053659915924
test,103,highly_resonant_second_order,2,0.05083594188978324,1.3393273084361748,0.13076677918434143
test,104,highly_resonant_second_order,2,0.05083594188978324,1.3306818909126168,0.17286787927150726
test,105,highly_resonant_second_order,2,0.05083594188978324,0.0,0.026468273252248764
test,106,highly_resonant_second_order,2,0.05083594188978324,0.0,0.0704408586025238
test,107,highly_resonant_second_order,2,0.05083594188978324,8.177288747908056,0.09396879374980927
test,224,two_mode_resonant,4,0.10747808736290695,2.6604826357366202,0.27056604623794556
test,227,two_mode_resonant,4,0.10747808736290695,2.634443607649314,0.2533809244632721
test,271,second_order,2,0.5615888345038405,0.04935785748815955,0.1345674693584442
test,272,second_order,2,0.5615888345038405,0.020583918415694704,0.080729179084301
test,273,second_order,2,0.5615888345038405,0.01069694738095634,0.1754624992609024
test,274,second_order,2,0.5615888345038405,0.0,0.2185705602169037
test,275,second_order,2,0.5615888345038405,0.01965552324971174,0.18516582250595093
test,276,second_order,2,0.5615888345038405,0.045729532833023334,0.21435806155204773
test,278,second_order,2,0.5615888345038405,0.02963770636657381,0.10440639406442642
test,279,second_order,2,0.5615888345038405,0.03045434644466827,0.09596063196659088
test,281,second_order,2,0.5615888345038405,0.03142480350978027,0.07749540358781815
test,283,second_order,2,0.5615888345038405,0.03268627460609161,0.0846262201666832
test,285,second_order,2,0.5615888345038405,0.027724004528966513,0.10172533243894577
test,286,second_order,2,0.5615888345038405,0.03369209870819398,0.09434953331947327
test,287,second_order,2,0.5615888345038405,0.03228080043641338,0.08245934545993805
test,342,first_order,1,1.0,0.0,0.09445831179618835
test,343,first_order,1,1.0,0.0,0.030070073902606964
test,344,first_order,1,1.0,0.0,0.03416061028838158
test,345,first_order,1,1.0,1.3624730943464938,0.09732697159051895
